utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
26470,1636576649519000,-25.7705,14.797999999999998,139.075,-23.4535,-0.742003,145.706,-33.7812,-1.12356,149.33599999999998,-13.125899999999998,-0.36044299999999996,142.077,-33.7812,-21.4202,149.33599999999998,-7.082680000000001,-25.2899,139.507,-33.7812,-41.7168,149.33599999999998,-11.5505,-30.2522,119.218,-21.0672,-15.1399,150.983,-25.5141,-29.790300000000002,158.661,-11.8478,-29.2854,153.858,-19.5162,-18.549100000000003,130.362,-11.8478,-60.3273,153.858,-23.0603,-19.1472,100.73400000000001,-11.8478,-90.17530000000001,153.858
26471,1636576649553000,-25.8416,14.922,139.387,-23.6362,-0.709166,145.822,-33.9238,-0.924908,149.572,-13.3486,-0.49342300000000006,142.072,-33.9238,-21.2215,149.572,-7.051900000000001,-24.8211,139.637,-33.923899999999996,-41.5182,149.572,-11.4475,-30.247500000000002,119.449,-21.4324,-15.1583,151.036,-25.8368,-29.746,158.66,-12.6205,-29.468799999999998,153.842,-19.665399999999998,-18.4317,130.424,-12.6205,-60.5107,153.842,-23.1847,-19.0501,100.79299999999999,-12.6205,-90.3587,153.842
26472,1636576649588000,-25.8508,14.853,139.49200000000002,-23.7681,-0.831357,145.899,-34.0244,-0.9208080000000001,149.739,-13.5119,-0.741905,142.059,-34.0244,-21.2174,149.739,-7.038079999999999,-24.4905,139.793,-34.0244,-41.5141,149.739,-11.3391,-30.3692,119.71,-21.6977,-15.308600000000002,151.091,-26.2737,-29.843799999999998,158.773,-12.980799999999999,-29.727899999999998,153.796,-19.5765,-18.5749,130.642,-12.980799999999999,-60.7698,153.796,-23.0667,-19.1704,101.005,-12.980799999999999,-90.6177,153.796
26473,1636576649622000,-25.8436,14.839500000000001,139.393,-23.8492,-0.819153,145.916,-34.0829,-0.780594,149.817,-13.6154,-0.857712,142.01500000000001,-34.0829,-21.077199999999998,149.817,-7.02984,-24.192,139.866,-34.0829,-41.3739,149.817,-11.2873,-30.2438,119.82000000000001,-21.900399999999998,-15.291,151.172,-26.6012,-29.7378,158.962,-13.3021,-29.7879,153.892,-19.4852,-18.3618,130.977,-13.3021,-60.8298,153.892,-23.0,-18.9871,101.34400000000001,-13.3021,-90.6778,153.892
26474,1636576649655000,-25.8137,14.7898,139.24200000000002,-23.9045,-0.755621,145.904,-34.1138,-0.5835079999999999,149.865,-13.6953,-0.9277340000000001,141.942,-34.1138,-20.8801,149.865,-7.081999999999999,-24.1849,139.916,-34.1138,-41.1768,149.865,-11.2628,-30.3103,119.873,-22.0318,-15.1634,151.356,-26.808600000000002,-29.4591,159.389,-13.5094,-29.683300000000003,154.22899999999998,-19.3146,-18.1683,131.46800000000002,-13.5094,-60.725300000000004,154.22899999999998,-22.8643,-18.7943,101.839,-13.5094,-90.5732,154.22899999999998
26475,1636576649688000,-25.8454,14.7165,139.21800000000002,-23.987000000000002,-0.830389,145.93699999999998,-34.1459,-0.575781,150.02100000000002,-13.828100000000001,-1.085,141.85399999999998,-34.1459,-20.8724,150.02100000000002,-7.25587,-24.2409,139.71099999999998,-34.1459,-41.169,150.02100000000002,-11.305800000000001,-30.4457,119.66400000000002,-22.1436,-15.2315,151.421,-26.987099999999998,-29.4651,159.59300000000002,-13.6131,-29.8003,154.216,-19.5858,-18.702099999999998,131.442,-13.6131,-60.842200000000005,154.216,-23.0001,-19.0701,101.79400000000001,-13.6131,-90.6902,154.216
26476,1636576649722000,-25.871699999999997,14.7574,139.302,-24.025399999999998,-0.742549,146.002,-34.1688,-0.44118,150.123,-13.8821,-1.04392,141.88,-34.1688,-20.7378,150.123,-7.35771,-24.268700000000003,139.612,-34.1688,-41.0344,150.123,-11.403400000000001,-30.3973,119.54,-22.2101,-15.1339,151.522,-27.0839,-29.326600000000003,159.759,-13.7055,-29.7241,154.323,-19.8221,-18.6791,131.525,-13.7055,-60.766,154.323,-22.8721,-18.921,101.837,-13.7055,-90.614,154.323
26477,1636576649755000,-25.854300000000002,14.7801,139.195,-24.039099999999998,-0.736961,145.959,-34.176,-0.397081,150.095,-13.902199999999999,-1.07684,141.824,-34.176,-20.6937,150.095,-7.40995,-24.2387,139.578,-34.176100000000005,-40.990300000000005,150.095,-11.421800000000001,-30.3122,119.481,-22.2641,-15.1286,151.493,-27.196800000000003,-29.295299999999997,159.763,-13.7814,-29.7451,154.28900000000002,-19.4538,-18.533,131.702,-13.7814,-60.787,154.28900000000002,-23.0185,-19.034100000000002,102.079,-13.7814,-90.635,154.28900000000002
26478,1636576649790000,-25.859699999999997,14.789599999999998,139.185,-24.041900000000002,-0.6288940000000001,145.928,-34.1678,-0.266125,150.09,-13.9161,-0.991663,141.76600000000002,-34.1677,-20.5628,150.09,-7.270770000000001,-24.154,139.829,-34.1678,-40.8594,150.09,-11.429,-30.178199999999997,119.747,-22.271700000000003,-15.0106,151.489,-27.2255,-29.1515,159.81300000000002,-13.777199999999999,-29.633300000000002,154.286,-19.0624,-18.1583,131.96300000000002,-13.777199999999999,-60.6752,154.286,-22.8322,-18.916999999999998,102.369,-13.777199999999999,-90.5232,154.286
26479,1636576649822000,-25.834899999999998,14.7587,139.13299999999998,-24.051099999999998,-0.682198,145.97,-34.1708,-0.268184,150.142,-13.9314,-1.09621,141.798,-34.1708,-20.564799999999998,150.142,-7.341670000000001,-24.2272,139.722,-34.1709,-40.8615,150.142,-11.3421,-30.275,119.61600000000001,-22.308699999999998,-15.0321,151.62,-27.2341,-29.1091,160.02,-13.8984,-29.654700000000002,154.522,-19.0482,-18.218799999999998,132.132,-13.8984,-60.696600000000004,154.522,-22.7533,-19.0132,102.52799999999999,-13.8984,-90.5446,154.522
