utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ
1636576696221000,-25.666000000000004,14.2777,140.635,-23.8054,-1.87879,145.994,-33.5393,-1.5864699999999998,151.002,-14.0714,-2.17111,140.986,-33.5393,-21.8831,151.002,-8.69777,-22.941,135.809,-33.5394,-42.1797,151.002,-14.123500000000002,-29.082,116.074,-21.952,-16.6231,150.457,-26.539,-31.1739,158.23399999999998,-13.6582,-31.560700000000004,151.607
1636576696254000,-25.6909,14.3666,140.56,-23.7295,-1.73753,145.95999999999998,-33.472,-1.48591,150.957,-13.987,-1.98916,140.96300000000002,-33.472,-21.7825,150.957,-9.1155,-22.4671,135.248,-33.4721,-42.0792,150.957,-14.337,-29.1366,115.635,-21.7989,-16.4613,150.466,-26.3074,-31.0188,158.274,-13.4291,-31.3514,151.668
1636576696289000,-25.6502,14.2831,140.373,-23.6359,-1.7276900000000002,145.91,-33.39,-1.50275,150.887,-13.8817,-1.95263,140.932,-33.39,-21.7994,150.887,-9.40468,-22.1026,134.76,-33.39,-42.096,150.887,-14.4996,-29.1726,115.253,-21.6029,-16.3939,150.55599999999998,-26.0169,-30.9115,158.493,-13.1229,-31.208800000000004,151.913
1636576696324000,-25.6246,14.2345,140.43599999999998,-23.5549,-1.74223,145.889,-33.3432,-1.63107,150.802,-13.7667,-1.85339,140.975,-33.3431,-21.9277,150.802,-9.65316,-22.0434,134.429,-33.3432,-42.2243,150.802,-14.688399999999998,-29.1871,114.929,-21.4119,-16.408,150.49,-25.809800000000003,-30.9994,158.374,-12.7279,-31.148000000000003,151.807
1636576696357000,-25.6233,14.3144,140.409,-23.4527,-1.63169,145.91,-33.2538,-1.53552,150.799,-13.651599999999998,-1.7278600000000002,141.02,-33.2538,-21.8322,150.799,-9.70997,-22.0417,134.352,-33.2538,-42.1288,150.799,-14.7372,-29.2248,114.861,-21.2491,-16.2558,150.615,-25.4993,-30.8167,158.53900000000002,-12.5919,-30.9433,152.1
1636576696391000,-25.6471,14.2036,140.296,-23.5101,-1.6878799999999998,145.866,-33.310500000000005,-1.52844,150.755,-13.709700000000002,-1.84732,140.976,-33.310500000000005,-21.8251,150.755,-9.68061,-21.96,134.36,-33.310500000000005,-42.1217,150.755,-14.6822,-29.214,114.887,-21.3182,-16.2599,150.73399999999998,-25.4484,-30.729000000000003,158.757,-12.8044,-30.9347,152.448
1636576696426000,-25.5806,14.223400000000002,140.147,-23.3122,-1.7382000000000002,145.721,-33.1683,-1.7342300000000002,150.497,-13.4562,-1.7421600000000002,140.945,-33.1683,-22.0309,150.497,-9.74032,-21.9502,134.265,-33.1683,-42.3275,150.497,-14.7315,-29.2375,114.801,-20.9953,-16.3156,150.515,-25.3621,-30.8904,158.547,-11.9946,-30.8957,152.07
1636576696458000,-25.5952,14.2643,139.973,-23.2247,-1.7127400000000002,145.594,-33.1097,-1.80018,150.31,-13.3396,-1.6253,140.878,-33.1097,-22.0968,150.31,-9.72393,-21.9619,134.256,-33.1098,-42.3934,150.31,-14.7517,-29.2328,114.795,-20.8446,-16.305,150.31300000000002,-25.069,-30.9557,158.182,-11.8602,-30.8389,151.881
1636576696491000,-25.6082,14.3233,139.927,-23.1671,-1.64956,145.603,-33.0456,-1.74254,150.334,-13.2886,-1.55658,140.872,-33.0456,-22.0392,150.334,-9.58768,-21.983600000000003,134.341,-33.0456,-42.3358,150.334,-14.6842,-29.2297,114.889,-20.7286,-16.203899999999997,150.409,-24.8199,-30.8197,158.342,-11.7601,-30.696800000000003,152.087
1636576696524000,-25.5469,14.2786,139.666,-22.9533,-1.6253,145.214,-32.9094,-2.11321,149.732,-12.9972,-1.1374,140.696,-32.9094,-22.4098,149.732,-8.85187,-21.9721,135.158,-32.9095,-42.7065,149.732,-13.7626,-29.2352,115.665,-20.3009,-16.3,149.474,-24.7495,-31.3227,156.956,-10.5476,-30.6267,150.511
