utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
1636576709591000,-25.9377,13.916,140.967,-23.8417,-2.68957,144.35,-33.6235,-3.19635,149.254,-14.0598,-2.18279,139.447,-33.6235,-23.493,149.254,-6.13265,-20.9094,135.821,-33.6236,-43.7896,149.254,-7.74244,-42.2182,135.445,-21.91,-17.9185,146.63,-26.254,-33.4726,152.05599999999998,-13.7026,-32.8224,145.764,-23.0474,-61.092200000000005,138.254,-13.7026,-63.8643,145.764,-12.6727,-83.6931,121.748,-13.702000000000002,-93.7122,145.755
1636576709625000,-25.875400000000003,13.913900000000002,140.783,-23.7074,-2.64374,144.182,-33.5308,-3.17583,148.998,-13.884,-2.11165,139.365,-33.5308,-23.4725,148.998,-6.14236,-20.9624,135.81300000000002,-33.5308,-43.7691,148.998,-7.82017,-42.2671,135.45499999999998,-21.7927,-17.8841,146.403,-26.179,-33.4657,151.714,-13.577000000000002,-32.783100000000005,145.535,-23.367,-62.30030000000001,140.567,-13.577000000000002,-63.825,145.535,-13.740199999999998,-86.2281,125.544,-13.5765,-93.673,145.527
1636576709658000,-25.859,13.924600000000002,140.632,-23.6912,-2.6975,144.128,-33.529,-3.24805,148.913,-13.8535,-2.14696,139.342,-33.529,-23.5447,148.913,-6.14685,-21.0271,135.846,-33.529,-43.8413,148.913,-7.891450000000001,-42.3283,135.619,-21.730600000000003,-17.9238,146.40699999999998,-26.0784,-33.5032,151.754,-13.4615,-32.7971,145.61700000000002,-23.6756,-63.1254,142.79000000000002,-13.4615,-63.839,145.61700000000002,-14.7884,-88.14500000000001,129.154,-13.461000000000002,-93.687,145.61
1636576709691000,-25.8466,13.8943,140.6,-23.6557,-2.71436,144.119,-33.4859,-3.26567,148.92000000000002,-13.8255,-2.16305,139.318,-33.4859,-23.5623,148.92000000000002,-6.15314,-21.0723,135.839,-33.4859,-43.8589,148.92000000000002,-7.919370000000001,-42.3719,135.582,-21.665,-17.9294,146.448,-25.9772,-33.498000000000005,151.855,-13.371199999999998,-32.791000000000004,145.698,-23.9595,-63.6284,144.666,-13.371199999999998,-63.8329,145.698,-15.7892,-89.5436,132.315,-13.3708,-93.6809,145.692
1636576709725000,-25.8818,13.8669,140.605,-23.7113,-2.78671,144.06099999999998,-33.556,-3.35623,148.82999999999998,-13.866499999999998,-2.21719,139.292,-33.556,-23.6529,148.82999999999998,-6.14295,-21.0989,135.87,-33.556,-43.9495,148.82999999999998,-7.91708,-42.397000000000006,135.543,-21.7481,-18.0197,146.294,-26.0972,-33.6178,151.58499999999998,-13.4728,-32.8874,145.469,-24.4235,-64.07509999999999,145.828,-13.4728,-63.9293,145.469,-16.9377,-90.7232,134.659,-13.4724,-93.7773,145.464
1636576709757000,-25.8648,13.8367,140.603,-23.7143,-2.88114,143.935,-33.6125,-3.53082,148.57999999999998,-13.8162,-2.23147,139.291,-33.6124,-23.8275,148.57999999999998,-6.13756,-21.1739,135.952,-33.6125,-44.1241,148.57999999999998,-7.92037,-42.4723,135.68699999999998,-21.7788,-18.1496,145.924,-26.1909,-33.8348,150.892,-13.4957,-33.0015,144.935,-24.8145,-64.5021,146.285,-13.4957,-64.04339999999999,144.935,-17.975,-91.7487,136.198,-13.4953,-93.8914,144.93
1636576709786000,-25.879700000000003,13.8798,140.596,-23.744300000000003,-2.84927,144.055,-33.6052,-3.43734,148.78699999999998,-13.883500000000002,-2.26119,139.324,-33.6052,-23.734,148.78699999999998,-6.02267,-21.3147,136.139,-33.6053,-44.0306,148.78699999999998,-8.003499999999999,-42.5768,135.374,-21.8092,-18.0981,146.193,-26.1986,-33.7241,151.366,-13.5494,-32.9697,145.296,-25.0741,-64.526,147.68099999999998,-13.5494,-64.0116,145.296,-18.8395,-92.2607,138.581,-13.5491,-93.8596,145.292
1636576709820000,-25.8805,13.8685,140.695,-23.7293,-2.79413,144.131,-33.5724,-3.36746,148.902,-13.8861,-2.22079,139.36,-33.5724,-23.6641,148.902,-6.07978,-21.2223,136.014,-33.572500000000005,-43.9607,148.902,-7.80179,-42.5095,135.269,-21.804,-18.0448,146.27,-26.1924,-33.6633,151.47,-13.5649,-32.927800000000005,145.35,-25.278,-64.5516,148.524,-13.5649,-63.9697,145.35,-19.605600000000003,-92.6837,140.32,-13.5646,-93.8177,145.345
1636576709856000,-25.9487,13.884,140.74200000000002,-23.8267,-2.76331,144.226,-33.628,-3.28723,149.08800000000002,-14.0254,-2.2394,139.365,-33.628,-23.5839,149.08800000000002,-6.11583,-21.1357,135.96300000000002,-33.6281,-43.8805,149.08800000000002,-7.68511,-42.4341,135.15,-21.8966,-17.9976,146.476,-26.253500000000003,-33.568,151.844,-13.6796,-32.8959,145.607,-25.5126,-64.5115,149.488,-13.6796,-63.9378,145.607,-20.3599,-92.967,142.096,-13.6793,-93.7858,145.60399999999998
1636576709889000,-25.8592,13.9207,140.413,-23.7935,-2.70638,144.106,-33.6108,-3.17443,148.941,-13.9761,-2.23832,139.27,-33.6108,-23.4711,148.941,-6.13559,-21.0873,135.909,-33.6109,-43.767700000000005,148.941,-7.6363,-42.3956,135.2,-21.8877,-17.921,146.502,-26.2798,-33.4359,152.001,-13.6839,-32.8354,145.797,-25.6811,-64.4149,150.118,-13.6839,-63.877300000000005,145.797,-21.0068,-93.1331,143.46099999999998,-13.683699999999998,-93.7253,145.794
